index,Municipio,Ncontagios
0,ABEJORRAL,10
1,ABRIAQUI,1
2,ALEJANDRIA,2
3,AMAGA,18
4,AMALFI,5
5,ANDES,14
6,ANGELOPOLIS,1
7,ANGOSTURA,2
8,ANORI,5
9,ANZA,1
10,APARTADO,232
11,ARBOLETES,18
12,ARGELIA,2
13,ARMENIA,1
14,BARBOSA,53
15,BELLO,1227
16,BELMIRA,3
17,BETANIA,8
18,BETULIA,8
19,BOLIVAR,14
20,BRICENO,10
21,BURITICA,8
22,CAÃ‘ASGORDAS,3
23,CACERES,6
24,CAICEDO,5
25,CALDAS,264
26,CARACOLI,1
27,CARAMANTA,2
28,CAREPA,59
29,CARMEN DE VIBORAL,104
30,CAROLINA,3
31,CAUCASIA,43
32,CHIGORODO,37
33,CISNEROS,2
34,COCORNA,8
35,CONCEPCION,2
36,CONCORDIA,4
37,COPACABANA,167
38,DABEIBA,20
39,DON MATIAS,25
40,EBEJICO,7
41,EL BAGRE,17
42,ENTRERRIOS,11
43,ENVIGADO,689
44,FREDONIA,16
45,FRONTINO,7
46,GIRALDO,14
47,GIRARDOTA,91
48,GOMEZ PLATA,7
49,GUARNE,89
50,GUATAPE,6
51,HELICONIA,3
52,HISPANIA,3
53,ITAGUI,887
54,ITUANGO,35
55,JARDIN,13
56,JERICO,6
57,LA CEJA,116
58,LA ESTRELLA,138
59,LA PINTADA,6
60,LA UNION,29
61,LIBORINA,1
62,MACEO,4
63,MARINILLA,120
64,MEDELLIN,8184
65,MONTEBELLO,6
66,MURINDO,3
67,MUTATA,10
68,NARIÃ‘O,1
69,NECHI,5
70,NECOCLI,21
71,OLAYA,1
72,PEÃ‘OL,13
73,PEQUE,5
74,PUEBLORRICO,4
75,PUERTO BERRIO,53
76,PUERTO NARE (LA MAGDALENA ),24
77,PUERTO TRIUNFO,9
78,REMEDIOS,13
79,RETIRO,30
80,RIONEGRO,501
81,SABANALARGA,1
82,SABANETA,243
83,SALGAR,8
84,SAN ANDRES,2
85,SAN CARLOS,9
86,SAN FRANCISCO,4
87,SAN JERONIMO,13
88,SAN JOSE DE LA MONTANA,2
89,SAN JUAN DE URABA,6
90,SAN LUIS,12
91,SAN PEDRO,20
92,SAN PEDRO DE URABA,11
93,SAN RAFAEL,2
94,SAN ROQUE,16
95,SAN VICENTE,13
96,SANTA BARBARA,17
97,SANTA FE DE ANTIOQUIA,49
98,SANTA ROSA DE OSOS,36
99,SANTO DOMINGO,5
100,SANTUARIO,33
101,SEGOVIA,22
102,SONSON,13
103,SOPETRAN,11
104,TAMESIS,9
105,TARAZA,13
106,TARSO,2
107,TITIRIBI,6
108,TOLEDO,1
109,TURBO,84
110,URAMITA,2
111,URRAO,23
112,VALDIVIA,4
113,VALPARAISO,3
114,VEGACHI,3
115,VENECIA,6
116,VIGIA DEL FUERTE,15
117,YARUMAL,38
118,YOLOMBO,14
119,YONDO (CASABE),11
120,ZARAGOZA,5
