index,Municipio,Ncontagios
0,ACHI,3
1,ALTOS DEL ROSARIO,3
2,ARENAL,4
3,ARJONA,32
4,ARROYOHONDO,5
5,BARRANCO DE LOBA,6
6,CALAMAR,13
7,CANTAGALLO,3
8,CICUCO,3
9,CLEMENCIA,1
10,CORDOBA,26
11,EL CARMEN DE BOLIVAR,42
12,EL GUAMO,3
13,EL PEÃ‘ON,3
14,HATILLO DE LOBA,1
15,MAGANGUE,103
16,MAHATES,8
17,MARIA LA BAJA,4
18,MOMPOS,27
19,MONTECRISTO,1
20,MORALES,2
21,PINILLOS,18
22,REGIDOR,3
23,RIO VIEJO,8
24,SAN CRISTOBAL,5
25,SAN ESTANISLAO,2
26,SAN FERNANDO,1
27,SAN JACINTO,1
28,SAN JACINTO DEL CAUCA,7
29,SAN JUAN NEPOMUCENO,22
30,SAN PABLO,5
31,SANTA CATALINA,5
32,SANTA ROSA,9
33,SANTA ROSA DEL SUR,16
34,SIMITI,7
35,SOPLAVIENTO,8
36,TALAIGUA NUEVO,2
37,TIQUISIO (PUERTO RICO),2
38,TURBACO,75
39,TURBANA,9
40,VILLANUEVA,4
41,ZAMBRANO,2
