index,Municipio,Ncontagios
0,ALMEIDA,1
1,AQUITANIA,10
2,ARCABUCO,6
3,BELEN,10
4,BOAVITA,5
5,BOYACA,3
6,BUENAVISTA,3
7,CERINZA,1
8,CHIQUINQUIRA,112
9,CHIQUIZA,3
10,CHITA,2
11,CHITARAQUE,3
12,CHIVATA,2
13,CHIVOR,3
14,COMBITA,29
15,CORRALES,1
16,COVARACHIA,2
17,CUBARA,3
18,CUCAITA,2
19,CUITIVA,1
20,DUITAMA,444
21,EL COCUY,1
22,FIRAVITOBA,4
23,FLORESTA,2
24,GACHANTIVA,1
25,GAMEZA,1
26,GARAGOA,30
27,GUACAMAYAS,1
28,GUATEQUE,11
29,IZA,3
30,JENESANO,2
31,LA UVITA,10
32,MACANAL,2
33,MARIPI,3
34,MIRAFLORES,10
35,MONGUA,2
36,MONGUI,2
37,MONIQUIRA,37
38,MOTAVITA,2
39,MUZO,18
40,NOBSA,38
41,OICATA,6
42,OTANCHE,3
43,PAEZ,1
44,PAIPA,80
45,PAJARITO,5
46,PANQUEBA,1
47,PAUNA,3
48,PAZ DE RIO,3
49,PUERTO BOYACA,132
50,QUIPAMA,7
51,RAMIRIQUI,13
52,SABOYA,3
53,SACHICA,6
54,SAMACA,21
55,SAN EDUARDO,1
56,SAN JOSE DE PARE,2
57,SAN LUIS DE GACENO,1
58,SAN MIGUEL DE SEMA,3
59,SAN PABLO DE BORBUR,9
60,SANTA MARIA,18
61,SANTA ROSA DE VITERBO,7
62,SANTA SOFIA,1
63,SANTANA,5
64,SATIVANORTE,2
65,SIACHOQUE,3
66,SOATA,15
67,SOCHA,6
68,SOCOTA,2
69,SOGAMOSO,412
70,SOMONDOCO,8
71,SORACA,3
72,SOTAQUIRA,1
73,SUSACON,1
74,SUTAMARCHAN,6
75,SUTATENZA,1
76,TASCO,5
77,TENZA,2
78,TIBANA,1
79,TIBASOSA,13
80,TIPACOQUE,8
81,TOCA,6
82,TOGUI,1
83,TOPAGA,4
84,TOTA,1
85,TUNJA,650
86,TURMEQUE,2
87,TUTA,7
88,UMBITA,2
89,VENTAQUEMADA,5
90,VILLA DE LEYVA,26
91,ZETAQUIRA,2
