index,Municipio,Ncontagios
0,ARGELIA,3
1,BALBOA,2
2,BOLIVAR,14
3,CAJIBIO,3
4,CALDONO,8
5,CALOTO,13
6,CORINTO,4
7,EL TAMBO,16
8,FLORENCIA,3
9,GUACHENÃ‰,2
10,GUAPI,17
11,INZA,4
12,LA SIERRA,6
13,LA VEGA,5
14,LOPEZ (MICAY),1
15,MERCADERES,3
16,MIRANDA,12
17,MORALES,9
18,PADILLA,1
19,PAEZ,6
20,PATIA (EL BORDO),16
21,PIAMONTE,2
22,PIENDAMO,10
23,POPAYAN,944
24,PUERTO TEJADA,26
25,PURACE,4
26,ROSAS,6
27,SAN SEBASTIAN,1
28,SANTA ROSA,2
29,SANTANDER DE QUILICHAO,90
30,SILVIA,11
31,SOTARA,8
32,SUAREZ,4
33,SUCRE,9
34,TIMBIO,23
35,TORIBIO,6
36,TOTORO,3
37,VILLARICA,5
