index,Municipio,Ncontagios
0,AYAPEL,3
1,BUENAVISTA,2
2,CANALETE,13
3,CERETE,182
4,CHIMA,3
5,CHINU,22
6,CIENAGA DE ORO,36
7,COTORRA,6
8,LA APARTADA,25
9,LORICA,173
10,LOS CORDOBAS,5
11,MOÃ‘ITOS,15
12,MOMIL,10
13,MONTELIBANO,57
14,MONTERIA,1029
15,PLANETA RICA,46
16,PUEBLO NUEVO,12
17,PUERTO ESCONDIDO,20
18,PUERTO LIBERTADOR,15
19,PURISIMA,8
20,SAHAGUN,79
21,SAN ANDRES SOTAVENTO,12
22,SAN ANTERO,17
23,SAN BERNARDO DEL VIENTO,17
24,SAN CARLOS,15
25,SAN PELAYO,26
26,TIERRALTA,21
27,TUCHIN,30
28,VALENCIA,7
