index,Municipio,Ncontagios
0,AGUA DE DIOS,28
1,ALBAN,8
2,ANAPOIMA,8
3,ANOLAIMA,2
4,ARBELAEZ,5
5,BITUIMA,2
6,BOJACA,21
7,CACHIPAY,2
8,CAJICA,273
9,CAPARRAPI,11
10,CAQUEZA,22
11,CARMEN DE CARUPA,4
12,CHAGUANI,1
13,CHIA,393
14,CHIPAQUE,10
15,CHOACHI,14
16,CHOCONTA,25
17,COGUA,49
18,COTA,66
19,CUCUNUBA,7
20,EL COLEGIO,15
21,EL ROSAL,24
22,FACATATIVA,260
23,FOMEQUE,7
24,FUNZA,235
25,FUQUENE,4
26,FUSAGASUGA,258
27,GACHANCIPA,26
28,GACHETA,7
29,GAMA,1
30,GIRARDOT,327
31,GRANADA,7
32,GUACHETA,4
33,GUADUAS,38
34,GUASCA,21
35,GUATAQUI,1
36,GUATAVITA,2
37,GUAYABAL DE SIQUIMA,1
38,GUAYABETAL,1
39,LA CALERA,45
40,LA MESA,50
41,LA PALMA,2
42,LA PEÃ‘A,1
43,LA VEGA,18
44,LENGUAZAQUE,6
45,MACHETA,1
46,MADRID,197
47,MEDINA,1
48,MOSQUERA,240
49,NARIÃ‘O,1
50,NEMOCON,25
51,NILO,60
52,NIMAIMA,1
53,OSPINA PEREZ (VENECIA),1
54,PACHO,22
55,PAIME,1
56,PARATEBUENO,4
57,PUERTO SALGAR,13
58,PULI,1
59,QUETAME,4
60,QUIPILE,2
61,RAFAEL REYES (APULO),5
62,RICAURTE,15
63,SAN ANTONIO DE TEQUENDAMA,6
64,SAN FRANCISCO,4
65,SASAIMA,25
66,SESQUILE,19
67,SIBATE,133
68,SILVANIA,17
69,SIMIJACA,11
70,SOACHA,1072
71,SOPO,38
72,SUBACHOQUE,16
73,SUESCA,28
74,SUPATA,1
75,SUSA,1
76,SUTATAUSA,7
77,TABIO,24
78,TAUSA,23
79,TENA,8
80,TENJO,34
81,TIBACUY,3
82,TIBIRITA,1
83,TOCAIMA,6
84,TOCANCIPA,102
85,TOPAIPI,10
86,UBALA,5
87,UBAQUE,2
88,UBATE,82
89,UNE,4
90,UTICA,1
91,VERGARA,10
92,VILLAPINZON,12
93,VILLETA,73
94,VIOTA,3
95,YACOPI,3
96,ZIPACON,4
97,ZIPAQUIRA,410
