index,Departamento,NumeroContagios
0,AMAZONAS,408
1,ANTIOQUIA,14383
2,ARAUCA,287
3,ATLANTICO,3264
4,BARRANQUILLA,4932
5,BOGOTA,26062
6,BOLIVAR,504
7,BOYACA,2352
8,CALDAS,2287
9,CAQUETA,649
10,CARTAGENA,2675
11,CASANARE,725
12,CAUCA,1302
13,CESAR,1707
14,CHOCO,269
15,CORDOBA,1906
16,CUNDINAMARCA,5104
17,GUAINIA,17
18,GUAJIRA,682
19,GUAVIARE,103
20,HUILA,2045
21,MAGDALENA,623
22,META,1992
23,NARIÃ‘O,2372
24,NORTE SANTANDER,2215
25,PUTUMAYO,315
26,QUINDIO,1731
27,RISARALDA,2211
28,SAN ANDRES,103
29,SANTANDER,3881
30,STA MARTA D.E.,1580
31,SUCRE,1076
32,TOLIMA,2826
33,VALLE,7829
34,VAUPES,42
35,VICHADA,41
