index,Municipio,Ncontagios
0,ACEVEDO,4
1,AGRADO,3
2,AIPE,18
3,ALGECIRAS,28
4,ALTAMIRA,1
5,BARAYA,14
6,CAMPOALEGRE,35
7,COLOMBIA,3
8,ELIAS,4
9,GARZON,107
10,GIGANTE,18
11,GUADALUPE,15
12,HOBO,8
13,IQUIRA,2
14,ISNOS (SAN JOSE DE ISNOS),16
15,LA ARGENTINA,12
16,LA PLATA,26
17,NATAGA,3
18,NEIVA,1282
19,OPORAPA,12
20,PAICOL,18
21,PALERMO,32
22,PALESTINA,4
23,PITAL,4
24,PITALITO,216
25,RIVERA,38
26,SALADOBLANCO,5
27,SAN AGUSTIN,25
28,SANTA MARIA,7
29,SUAZA,7
30,TARQUI,10
31,TELLO,3
32,TERUEL,6
33,TESALIA,20
34,TIMANA,26
35,VILLAVIEJA,5
36,YAGUARA,8
