index,Municipio,Ncontagios
0,ARACATACA,37
1,ARIGUANI (EL DIFICIL),15
2,CERRO SAN ANTONIO,2
3,CHIVOLO,9
4,CIENAGA,228
5,CONCORDIA,2
6,EL BANCO,44
7,EL PIÃ‘ON,5
8,EL RETEN,9
9,FUNDACION,45
10,GUAMAL,8
11,NUEVA GRANADA,9
12,PEDRAZA,3
13,PIJIÃ‘O DEL CARMEN (PIJIÃ‘O),4
14,PIVIJAY,39
15,PLATO,34
16,PUEBLOVIEJO,25
17,REMOLINO,5
18,SABANAS DE SAN ANGEL,7
19,SALAMINA,13
20,SAN SEBASTIAN DE BUENAVISTA,10
21,SAN ZENON,14
22,SANTA ANA,18
23,SANTA BARBARA DE PINTO,2
24,SITIO NUEVO,6
25,TENERIFE,6
26,ZAPAYAN,1
27,ZONA BANANERA,23
