index,Municipio,Ncontagios
0,ALBAN (SAN JOSE),14
1,ALDANA,10
2,ANCUYA,3
3,ARBOLEDA (BERRUECOS),12
4,BARBACOAS,8
5,BELEN,32
6,BUESACO,27
7,CHACHAGUI,9
8,COLON (GENOVA),9
9,CONSACA,16
10,CONTADERO,11
11,CORDOBA,14
12,CUASPUD (CARLOSAMA),5
13,CUMBAL,41
14,CUMBITARA,6
15,EL CHARCO,24
16,EL PEÃ‘OL,11
17,EL ROSARIO,14
18,EL TABLON,18
19,EL TAMBO,29
20,FUNES,8
21,GUACHUCAL,22
22,GUAITARILLA,10
23,GUALMATAN,5
24,ILES,9
25,IMUES,5
26,IPIALES,267
27,LA CRUZ,60
28,LA FLORIDA,16
29,LA LLANADA,2
30,LA UNION,55
31,LEIVA,4
32,LINARES,8
33,MALLAMA (PIEDRANCHA),9
34,NARIÃ‘O,4
35,OLAYA HERRERA(BOCAS DE SATINGA,2
36,OSPINA,3
37,PASTO,1204
38,POLICARPA,8
39,POTOSI,10
40,PROVIDENCIA,6
41,PUERRES,19
42,PUPIALES,6
43,RICAURTE,7
44,ROBERTO PAYAN (SAN JOSE),3
45,SAMANIEGO,14
46,SAN BERNARDO,8
47,SAN LORENZO,13
48,SAN PABLO,45
49,SAN PEDRO DE CARTAGO,5
50,SANDONA,22
51,SANTA BARBARA (ISCUANDE),5
52,SANTA CRUZ (GUACHAVES),7
53,SAPUYES,6
54,TAMINANGO,9
55,TANGUA,23
56,TUMACO,90
57,TUQUERRES,44
58,YACUANQUER,16
