index,Municipio,Ncontagios
0,ABREGO,4
1,ARBOLEDAS,3
2,BOCHALEMA,2
3,BUCARASICA,1
4,CACHIRA,3
5,CHINACOTA,18
6,CHITAGA,1
7,CUCUTA,1442
8,CUCUTILLA,1
9,DURANIA,3
10,EL CARMEN,2
11,EL TARRA,5
12,EL ZULIA,17
13,GRAMALOTE,4
14,HACARI,1
15,HERRAN,3
16,LA ESPERANZA,3
17,LABATECA,1
18,LOS PATIOS,171
19,MUTISCUA,4
20,OCAÃ‘A,118
21,PAMPLONA,103
22,PAMPLONITA,1
23,PUERTO SANTANDER,7
24,RAGONVALIA,16
25,SALAZAR,6
26,SAN CALIXTO,3
27,SAN CAYETANO,7
28,SANTIAGO,3
29,SARDINATA,14
30,SILOS,3
31,TEORAMA,3
32,TIBU,95
33,TOLEDO,7
34,VILLA CARO,2
35,VILLA DEL ROSARIO,138
