index,Municipio,Ncontagios
0,ALBANIA,2
1,ARATOCA,5
2,BARBOSA,41
3,BARICHARA,3
4,BARRANCABERMEJA,588
5,BETULIA,6
6,BOLIVAR,4
7,BUCARAMANGA,1656
8,CALIFORNIA,2
9,CAPITANEJO,5
10,CARCASI,1
11,CEPITA,1
12,CERRITO,4
13,CHARALA,15
14,CHIMA,1
15,CIMITARRA,14
16,CONCEPCION,3
17,CONFINES,1
18,CONTRATACION,2
19,COROMORO,2
20,CURITI,2
21,EL CARMEN DE CHUCURI,5
22,EL PEÃ‘ON,1
23,EL PLAYON,6
24,ENCISO,1
25,FLORIAN,1
26,FLORIDABLANCA,602
27,GIRON,266
28,GUADALUPE,1
29,GUAPOTA,2
30,GUEPSA,2
31,LA BELLEZA,4
32,LA PAZ,1
33,LANDAZURI,1
34,LEBRIJA,18
35,LOS SANTOS,3
36,MALAGA,45
37,MATANZA,2
38,MOGOTES,1
39,MOLAGAVITA,1
40,OCAMONTE,2
41,OIBA,7
42,ONZAGA,1
43,PARAMO,3
44,PIEDECUESTA,261
45,PINCHOTE,1
46,PUENTE NACIONAL,5
47,PUERTO PARRA,2
48,PUERTO WILCHES,9
49,RIONEGRO,12
50,SABANA DE TORRES,7
51,SAN ANDRES,2
52,SAN BENITO,4
53,SAN GIL,119
54,SAN JOAQUIN,1
55,SAN JOSE DE MIRANDA,1
56,SAN VICENTE DE CHUCURI,20
57,SANTA BARBARA,2
58,SANTA HELENA DEL OPON,7
59,SIMACOTA,2
60,SOCORRO,54
61,SUAITA,5
62,SUCRE,1
63,VALLE DE SAN JOSE,4
64,VELEZ,22
65,VILLANUEVA,3
66,ZAPATOCA,3
