index,Municipio,Ncontagios
0,ALVARADO,2
1,AMBALEMA,3
2,ANZOATEGUI,6
3,ARMERO (GUAYABAL),9
4,ATACO,13
5,CAJAMARCA,6
6,CARMEN DE APICALA,3
7,CHAPARRAL,106
8,COELLO,3
9,COYAIMA,14
10,CUNDAY,4
11,DOLORES,3
12,ESPINAL,206
13,FALAN,4
14,FLANDES,31
15,FRESNO,32
16,GUAMO,30
17,HERVEO,2
18,HONDA,31
19,IBAGUE,1966
20,ICONONZO,8
21,LERIDA,19
22,LIBANO,49
23,MARIQUITA,36
24,MELGAR,106
25,MURILLO,3
26,NATAGAIMA,9
27,ORTEGA,5
28,PALOCABILDO,3
29,PIEDRAS,16
30,PLANADAS,9
31,PRADO,2
32,PURIFICACION,17
33,RIOBLANCO,7
34,ROVIRA,13
35,SALDAÃ‘A,3
36,SAN ANTONIO,8
37,SAN LUIS,3
38,SANTA ISABEL,3
39,SUAREZ,5
40,VALLE DE SAN JUAN,2
41,VENADILLO,17
42,VILLAHERMOSA,9
