index,Municipio,Ncontagios
0,ALCALA,19
1,ANDALUCIA,14
2,ANSERMANUEVO,2
3,BOLIVAR,3
4,BUENAVENTURA,124
5,BUGA,183
6,BUGALAGRANDE,24
7,CAICEDONIA,37
8,CALI,6245
9,CANDELARIA,51
10,CARTAGO,109
11,DAGUA,18
12,DARIEN,7
13,EL CERRITO,46
14,EL DOVIO,2
15,FLORIDA,31
16,GINEBRA,6
17,GUACARI,20
18,JAMUNDI,142
19,LA CUMBRE,3
20,LA UNION,11
21,LA VICTORIA,13
22,OBANDO,14
23,PALMIRA,247
24,PRADERA,24
25,RESTREPO,12
26,RIOFRIO,4
27,ROLDANILLO,37
28,SAN PEDRO,3
29,SEVILLA,31
30,TRUJILLO,1
31,TULUA,156
32,ULLOA,3
33,VERSALLES,4
34,VIJES,11
35,YOTOCO,3
36,YUMBO,109
37,ZARZAL,60
